Country,Clicks,Impressions,CTR,Position
United States,113,3398,3.33%,8.25
United Kingdom,21,387,5.43%,7.58
Brazil,18,357,5.04%,6.36
Canada,17,339,5.01%,7.57
Germany,12,213,5.63%,6.59
Spain,11,365,3.01%,6.65
Indonesia,10,39,25.64%,3.67
Russia,8,67,11.94%,5.09
Poland,8,61,13.11%,4.85
Thailand,7,30,23.33%,4.1
France,5,153,3.27%,4.46
Italy,5,65,7.69%,6.72
Australia,4,111,3.6%,10.22
Netherlands,4,98,4.08%,7.34
Mexico,4,70,5.71%,4.33
Portugal,4,45,8.89%,5.8
Ireland,4,40,10%,4.95
Philippines,3,68,4.41%,5.88
South Korea,3,61,4.92%,7.75
Romania,3,19,15.79%,3.79
Dominican Republic,3,6,50%,2.67
Sweden,2,65,3.08%,7.18
Argentina,2,31,6.45%,7.97
Belgium,2,29,6.9%,6.31
Malaysia,2,24,8.33%,5.04
Vietnam,2,24,8.33%,5.42
Chile,2,22,9.09%,7.86
Greece,2,21,9.52%,6.38
Peru,2,19,10.53%,5.16
South Africa,2,19,10.53%,6
Saudi Arabia,2,17,11.76%,10.94
Czechia,2,14,14.29%,4.71
Venezuela,2,13,15.38%,6
Morocco,2,8,25%,5.62
Norway,1,36,2.78%,4.89
Israel,1,31,3.23%,4.87
Singapore,1,27,3.7%,5.33
New Zealand,1,17,5.88%,6.29
Puerto Rico,1,15,6.67%,5.07
Taiwan,1,13,7.69%,6.62
Pakistan,1,13,7.69%,14.08
Hong Kong,1,10,10%,5.9
Jamaica,1,9,11.11%,4.11
Slovakia,1,8,12.5%,3.62
Colombia,1,8,12.5%,4.25
Georgia,1,8,12.5%,8
Latvia,1,6,16.67%,3.5
Sri Lanka,1,5,20%,4.8
Bulgaria,1,3,33.33%,2
Kazakhstan,1,3,33.33%,14.67
Tanzania,1,2,50%,8
Armenia,1,1,100%,2
Algeria,1,1,100%,2
India,0,43,0%,7.28
Finland,0,34,0%,5.53
Austria,0,33,0%,5.97
Ukraine,0,31,0%,5.03
Switzerland,0,21,0%,5.57
Japan,0,21,0%,6.86
Turkey,0,17,0%,10.76
Hungary,0,16,0%,3.44
Denmark,0,16,0%,5.06
China,0,14,0%,4.86
Croatia,0,11,0%,5.82
Ghana,0,11,0%,6.27
United Arab Emirates,0,10,0%,7.1
Uruguay,0,8,0%,5.12
Nigeria,0,8,0%,6.25
Uganda,0,7,0%,5
Kenya,0,6,0%,5.67
Iran,0,6,0%,7.67
Egypt,0,6,0%,32
Qatar,0,5,0%,4.2
Sierra Leone,0,5,0%,4.2
Trinidad & Tobago,0,5,0%,4.8
Papua New Guinea,0,5,0%,5.4
Nepal,0,4,0%,5
Bangladesh,0,4,0%,5.5
Zambia,0,4,0%,6
Serbia,0,4,0%,8
Kuwait,0,4,0%,9
Costa Rica,0,3,0%,2.33
Belarus,0,3,0%,5.33
Cambodia,0,3,0%,5.33
Malta,0,3,0%,6
Estonia,0,3,0%,6.33
Bahrain,0,2,0%,5
Ecuador,0,2,0%,5
Tunisia,0,2,0%,5
U.S. Virgin Islands,0,2,0%,5
Swaziland,0,2,0%,6
Luxembourg,0,2,0%,7
Uzbekistan,0,2,0%,7
Lithuania,0,2,0%,8
Bahamas,0,2,0%,9.5
American Samoa,0,2,0%,10
Bosnia & Herzegovina,0,1,0%,2
Guatemala,0,1,0%,2
Iceland,0,1,0%,2
Panama,0,1,0%,2
Paraguay,0,1,0%,2
Cuba,0,1,0%,3
Belize,0,1,0%,4
Honduras,0,1,0%,4
Laos,0,1,0%,4
Ethiopia,0,1,0%,5
Iraq,0,1,0%,5
Svalbard & Jan Mayen,0,1,0%,5
Réunion,0,1,0%,6
Namibia,0,1,0%,7
Bolivia,0,1,0%,8
Cyprus,0,1,0%,8
Montenegro,0,1,0%,8
Barbados,0,1,0%,9
Mongolia,0,1,0%,11
Palestine,0,1,0%,11
Guernsey,0,1,0%,12
Lebanon,0,1,0%,12
South Sudan,0,1,0%,18
