Date,Clicks,Impressions,CTR,Position
2026-02-13,1,10,10%,16.6
2026-02-14,1,24,4.17%,6.8
2026-02-15,2,19,10.53%,11.7
2026-02-16,0,23,0%,11.7
2026-02-17,0,19,0%,9.6
2026-02-18,0,21,0%,16.7
2026-02-19,0,20,0%,7.7
2026-02-20,0,28,0%,15.5
2026-02-21,0,19,0%,6.6
2026-02-22,1,23,4.35%,15.3
2026-02-23,0,23,0%,18.1
2026-02-24,1,7,14.29%,7.1
2026-02-25,3,40,7.5%,11.7
2026-02-26,0,30,0%,19.1
2026-02-27,0,20,0%,15.6
2026-02-28,1,30,3.33%,8.1
2026-03-01,0,44,0%,7.4
2026-03-02,1,47,2.13%,10.9
2026-03-03,1,58,1.72%,10.1
2026-03-04,0,35,0%,15.9
2026-03-05,0,60,0%,12.9
2026-03-06,2,57,3.51%,11.4
2026-03-07,0,42,0%,16.2
2026-03-08,2,39,5.13%,10.8
2026-03-09,0,40,0%,16.3
2026-03-10,3,63,4.76%,7.1
2026-03-11,1,55,1.82%,10.9
2026-03-12,1,36,2.78%,17.1
2026-03-13,2,35,5.71%,8.3
2026-03-14,0,55,0%,8.7
2026-03-15,1,56,1.79%,9.8
2026-03-16,0,51,0%,9.8
2026-03-17,0,31,0%,7.6
2026-03-18,0,35,0%,15.8
2026-03-19,1,37,2.7%,11.6
2026-03-20,0,58,0%,12.9
2026-03-21,1,42,2.38%,10.5
2026-03-22,0,39,0%,15.5
2026-03-23,0,39,0%,12.6
2026-03-24,2,58,3.45%,12.8
2026-03-25,4,63,6.35%,11.3
2026-03-26,1,49,2.04%,13.3
2026-03-27,1,51,1.96%,8.7
2026-03-28,0,52,0%,7.9
2026-03-29,2,86,2.33%,8.8
2026-03-30,4,90,4.44%,7.2
2026-03-31,6,82,7.32%,8.8
2026-04-01,3,74,4.05%,7.9
2026-04-02,2,84,2.38%,11.2
2026-04-03,2,77,2.6%,9.4
2026-04-04,5,69,7.25%,6.6
2026-04-05,3,95,3.16%,6.5
2026-04-06,2,72,2.78%,7.2
2026-04-07,7,88,7.95%,7
2026-04-08,2,97,2.06%,6.2
2026-04-09,2,102,1.96%,7.1
2026-04-10,2,89,2.25%,6.7
2026-04-11,0,69,0%,7.3
2026-04-12,5,101,4.95%,7
2026-04-13,3,74,4.05%,8.4
2026-04-14,6,104,5.77%,7
2026-04-15,7,101,6.93%,6.4
2026-04-16,10,143,6.99%,9.9
2026-04-17,11,133,8.27%,6.6
2026-04-18,9,101,8.91%,5.4
2026-04-19,8,113,7.08%,5.5
2026-04-20,4,116,3.45%,5
2026-04-21,3,204,1.47%,7.3
2026-04-22,6,116,5.17%,5
2026-04-23,10,121,8.26%,5.7
2026-04-24,9,115,7.83%,4.6
2026-04-25,5,122,4.1%,4.6
2026-04-26,6,124,4.84%,4.9
2026-04-27,6,103,5.83%,4.9
2026-04-28,2,99,2.02%,5.8
2026-04-29,10,129,7.75%,4.3
2026-04-30,4,94,4.26%,6.6
2026-05-01,6,110,5.45%,4.2
2026-05-02,8,145,5.52%,4.5
2026-05-03,6,129,4.65%,3.9
2026-05-04,6,155,3.87%,4.9
2026-05-05,11,139,7.91%,4.5
2026-05-06,9,157,5.73%,5.2
2026-05-07,13,178,7.3%,5.8
2026-05-08,9,175,5.14%,5.1
2026-05-09,13,166,7.83%,5
2026-05-10,14,166,8.43%,5.7
2026-05-11,7,178,3.93%,4.8
2026-05-12,10,163,6.13%,5.2
